2023-02-18 19:20:48,639 - pyil - INFO - |          |Task0     |Task1     |Task2     |Task3     |Task4     |Task5     |Task6     |Task7     |Task8     |Task9     |
|Train0    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train1    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train2    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train3    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train4    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train5    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train6    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train7    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train8    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|
|Train9    |         5|         5|         5|         5|         5|         5|         5|         5|         5|         5|

2023-02-18 19:21:50,301 - pyil - INFO - 
|          |Task0     |Task1     |Task2     |Task3     |Task4     |Task5     |Task6     |Task7     |Task8     |Task9     |
|Train0    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train1    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train2    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train3    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train4    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train5    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train6    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train7    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train8    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|
|Train9    |    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|    0.0001|

